date,open,high,low,close,volume,top_fractal,bottom_fractal,fractal_price,pen_type,pen_start,pen_end,pen_id,pen_length_kline,pen_price_change,pen_price_ratio,segment_type,segment_start,segment_end,segment_id,segment_length_pen,segment_price_change,segment_price_ratio,central_bank,central_bank_id,central_bank_type,central_bank_high,central_bank_low,central_bank_mid,central_bank_length,central_bank_overlap_ratio,ema12,ema26,macd,macd_signal,macd_hist,tr1,tr2,tr3,tr,atr,divergence,divergence_indicator,divergence_strength,divergence_count,signal,signal_strength,signal_source,signal_level,signal_conditions,fractal_strength,divergence_strength_score,structure_match_score,stop_loss_price,stop_loss_type
2025-06-27,1.092,1.11,1.09,1.099,710662136,False,False,1.149,up,False,False,1,8,0.1160000000000001,0.11229428848015499,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.067634510847936,1.058882216541136,0.008752294306799913,0.003547983621583894,0.005204310685216019,0.020000000000000018,0.019000000000000128,0.0009999999999998899,0.020000000000000018,0.018928571428571437,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-06-30,1.105,1.148,1.104,1.147,970295294,False,False,1.149,up,False,False,1,8,0.1160000000000001,0.11229428848015499,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0798445861020998,1.0654094597603112,0.014435126341788562,0.005725412165624827,0.008709714176163735,0.04399999999999982,0.04899999999999993,0.0050000000000001155,0.04899999999999993,0.020571428571428574,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-01,1.147,1.149,1.13,1.143,1213411731,True,False,1.149,up,False,True,1,8,0.1160000000000001,0.11229428848015499,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0895608036248536,1.0711569071854732,0.01840389643938045,0.008261109020375954,0.010142787419004498,0.019000000000000128,0.0020000000000000018,0.017000000000000126,0.019000000000000128,0.021214285714285724,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-02,1.14,1.141,1.116,1.12,718397827,False,False,1.11,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0942437569133376,1.0747749140606233,0.01946884285271433,0.010502655786843628,0.008966187065870702,0.02499999999999991,0.0020000000000000018,0.026999999999999913,0.026999999999999913,0.022500000000000013,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-03,1.119,1.136,1.115,1.124,504191100,False,False,1.11,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.0988216404651319,1.0784212167227993,0.02040042374233253,0.012482209377941408,0.007918214364391121,0.020999999999999908,0.015999999999999792,0.0050000000000001155,0.020999999999999908,0.022642857142857138,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-04,1.122,1.128,1.11,1.116,648772980,False,True,1.11,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1014644650089578,1.0812048302988884,0.02025963471006942,0.014037694444367012,0.006221940265702407,0.017999999999999794,0.0039999999999997815,0.014000000000000012,0.017999999999999794,0.02292857142857141,bull,macd,1.0,1,buy,0.6,"fractal,divergence",一买,['MACD底背驰'],0.5,1.0,0.0,,recent_low
2025-07-07,1.116,1.122,1.111,1.118,331884746,False,False,1.135,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.104008393469118,1.0839303984248967,0.020077995044221364,0.015245754564337882,0.004832240479883482,0.01100000000000012,0.006000000000000005,0.0050000000000001155,0.01100000000000012,0.022714285714285704,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-08,1.118,1.126,1.114,1.125,652241196,False,False,1.135,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.107237871396946,1.0869725911341634,0.020265280262782515,0.01624965970402681,0.004015620558755706,0.011999999999999789,0.007999999999999785,0.0040000000000000036,0.011999999999999789,0.022357142857142822,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-09,1.126,1.135,1.113,1.116,558571900,True,False,1.135,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.1085858911820312,1.0891227695686698,0.01946312161336139,0.016892352085893726,0.002570769527467664,0.02200000000000002,0.010000000000000009,0.01200000000000001,0.02200000000000002,0.02221428571428568,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
2025-07-10,1.113,1.117,1.101,1.113,662328744,False,True,1.101,up,False,False,-1,0,0.0,0.0,,False,False,-1,0,0.0,0.0,False,-1,expand,1.211,1.181,1.1960000000000002,0,0.0,1.109264984846334,1.090891453304324,0.018373531542010157,0.017188587977117014,0.0011849435648931435,0.016000000000000014,0.0009999999999998899,0.015000000000000124,0.016000000000000014,0.022499999999999964,,,0.0,0,hold,0.0,,未定义级别,,0.0,0.0,0.0,,
